iter	Passed	Remaining
545	4468	3715
546	4480	3710
547	4487	3701
548	4493	3691
549	4512	3691
550	4523	3686
551	4538	3683
552	4549	3677
553	4559	3671
554	4567	3661
555	4572	3651
556	4580	3643
557	4589	3635
558	4599	3628
559	4612	3623
560	4619	3614
561	4628	3607
562	4633	3596
563	4643	3589
564	4649	3579
565	4654	3569
566	4663	3561
567	4668	3550
568	4679	3544
569	4687	3536
570	4695	3527
571	4702	3518
572	4711	3511
573	4719	3502
574	4728	3494
575	4735	3485
576	4746	3479
577	4758	3473
578	4766	3465
579	4774	3457
580	4783	3449
581	4792	3442
582	4800	3433
583	4808	3425
584	4816	3416
585	4826	3409
586	4834	3401
587	4839	3391
588	4851	3385
589	4861	3378
590	4867	3368
591	4874	3359
592	4884	3352
593	4890	3342
594	4897	3333
595	4910	3328
596	4921	3322
597	4927	3312
598	4934	3303
599	4941	3294
600	4949	3285
601	4959	3278
602	4973	3274
603	4981	3266
604	4987	3256
605	4994	3247
606	5001	3238
607	5008	3229
608	5015	3220
609	5022	3210
610	5030	3202
611	5038	3194
612	5049	3187
613	5058	3180
614	5064	3170
615	5074	3163
616	5083	3155
617	5089	3146
618	5101	3140
619	5109	3131
620	5122	3126
621	5132	3119
622	5139	3109
623	5146	3100
624	5152	3091
625	5157	3081
626	5167	3074
627	5177	3066
628	5185	3058
629	5189	3047
630	5200	3041
631	5206	3031
632	5213	3022
633	5222	3014
634	5230	3006
635	5236	2997
636	5245	2989
637	5252	2980
638	5260	2971
639	5268	2963
640	5277	2955
641	5289	2949
642	5300	2943
643	5312	2936
644	5320	2928
645	5327	2919
646	5335	2910
647	5345	2903
648	5350	2893
649	5361	2887
650	5369	2878
651	5378	2870
652	5386	2862
653	5394	2853
654	5402	2845
655	5410	2837
656	5421	2830
657	5433	2824
658	5443	2816
659	5450	2807
660	5457	2799
661	5465	2790
662	5475	2783
663	5485	2775
664	5492	2766
665	5500	2758
666	5511	2751
667	5518	2742
668	5528	2735
669	5535	2726
670	5540	2716
671	5547	2707
672	5557	2700
673	5565	2692
674	5576	2685
675	5584	2676
676	5589	2666
677	5598	2658
678	5606	2650
679	5615	2642
680	5624	2634
681	5636	2628
682	5645	2620
683	5654	2612
684	5663	2604
685	5678	2599
686	5685	2590
687	5694	2582
688	5702	2573
689	5712	2566
690	5719	2557
691	5728	2549
692	5735	2540
693	5740	2531
694	5750	2523
695	5759	2515
696	5767	2507
697	5778	2500
698	5785	2491
699	5790	2481
700	5798	2473
701	5807	2465
702	5814	2456
703	5822	2448
704	5832	2440
705	5840	2432
706	5850	2424
707	5860	2416
708	5869	2409
709	5880	2401
710	5888	2393
711	5893	2384
712	5906	2377
713	5914	2369
714	5920	2360
715	5926	2350
716	5933	2341
717	5946	2335
718	5958	2328
719	5966	2320
720	5974	2311
721	5981	2303
722	5989	2294
723	5997	2286
724	6004	2277
725	6012	2269
726	6024	2262
727	6035	2254
728	6046	2247
729	6057	2240
730	6066	2232
731	6076	2224
732	6082	2215
733	6089	2206
734	6096	2198
735	6103	2189
736	6113	2181
737	6120	2173
738	6126	2163
739	6136	2156
740	6145	2147
741	6154	2140
742	6162	2131
743	6168	2122
744	6179	2115
745	6186	2106
746	6196	2098
747	6200	2089
748	6209	2080
749	6221	2073
750	6229	2065
751	6238	2057
752	6249	2049
753	6256	2041
754	6266	2033
755	6272	2024
756	6280	2016
757	6288	2007
758	6298	1999
759	6306	1991
760	6314	1982
761	6323	1975
762	6330	1966
763	6337	1957
764	6349	1950
765	6361	1943
766	6369	1934
767	6380	1927
768	6389	1919
769	6394	1910
770	6402	1901
771	6408	1892
772	6418	1884
773	6425	1876
774	6434	1867
775	6443	1859
776	6451	1851
777	6458	1843
778	6466	1834
779	6475	1826
780	6482	1817
781	6491	1809
782	6498	1801
783	6508	1793
784	6514	1784
785	6521	1775
786	6531	1767
787	6542	1760
788	6554	1752
789	6565	1745
790	6581	1739
791	6592	1731
792	6600	1722
793	6606	1714
794	6613	1705
795	6618	1696
796	6627	1688
797	6634	1679
798	6643	1671
799	6650	1662
800	6658	1654
801	6664	1645
802	6671	1636
